,province,city,total,today
0,台湾,地区待确认,"{'confirm': 4240466, 'mtime': '2022-07-17 10:54:50', 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 0, 'dead': 8103, 'showRate': False, 'wzz': 0, 'heal': 13742, 'continueDayZeroLocalConfirm': 0, 'adcode': '', 'nowConfirm': 4218621, 'showHeal': True, 'mediumRiskAreaNum': 0}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 25266, 'confirm': 25266}"
1,香港,地区待确认,"{'confirm': 345379, 'continueDayZeroLocalConfirmAdd': 0, 'showHeal': True, 'wzz': 0, 'continueDayZeroLocalConfirm': 0, 'mtime': '2022-07-17 10:52:29', 'nowConfirm': 270366, 'dead': 9433, 'heal': 65580, 'highRiskAreaNum': 0, 'adcode': '', 'showRate': False, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0}","{'confirm': 640, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 640}"
2,澳门,地区待确认,"{'showRate': False, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'mtime': '2022-07-17 10:53:39', 'nowConfirm': 520, 'dead': 5, 'showHeal': True, 'wzz': 0, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 0, 'confirm': 727, 'heal': 202, 'continueDayZeroLocalConfirm': 0, 'adcode': ''}","{'confirm': 16, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 16}"
3,广东,深圳,"{'provinceLocalConfirm': 0, 'adcode': '440300', 'wzz': 0, 'mtime': '2022-07-18 09:31:53', 'confirm': 1407, 'dead': 3, 'heal': 778, 'highRiskAreaNum': 12, 'continueDayZeroLocalConfirmAdd': 0, 'nowConfirm': 626, 'showRate': False, 'mediumRiskAreaNum': 12, 'continueDayZeroLocalConfirm': 0, 'showHeal': True, 'grade': '点击查看详情'}","{'local_confirm_add': 1, 'confirm': 1, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '8'}"
4,广东,广州,"{'mediumRiskAreaNum': 6, 'continueDayZeroLocalConfirm': 0, 'adcode': '440100', 'nowConfirm': 360, 'confirm': 970, 'dead': 1, 'mtime': '2022-07-17 11:36:02', 'provinceLocalConfirm': 0, 'showRate': False, 'heal': 609, 'grade': '点击查看详情', 'wzz': 0, 'showHeal': True, 'highRiskAreaNum': 4, 'continueDayZeroLocalConfirmAdd': 1}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0'}"
5,广东,境外输入,"{'heal': 4099, 'continueDayZeroLocalConfirmAdd': 0, 'mtime': '2022-07-18 09:31:54', 'dead': 0, 'mediumRiskAreaNum': 0, 'nowConfirm': 124, 'showHeal': True, 'highRiskAreaNum': 0, 'confirm': 4223, 'wzz': 0, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 0, 'adcode': '', 'showRate': False}","{'confirm': 21, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '', 'local_confirm_add': 21}"
6,广东,珠海,"{'showRate': False, 'mediumRiskAreaNum': 20, 'highRiskAreaNum': 33, 'dead': 1, 'heal': 115, 'nowConfirm': 104, 'continueDayZeroLocalConfirm': 0, 'adcode': '440400', 'continueDayZeroLocalConfirmAdd': 0, 'mtime': '2022-07-18 09:31:54', 'confirm': 220, 'showHeal': True, 'grade': '点击查看详情', 'wzz': 0, 'provinceLocalConfirm': 0}","{'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '2', 'local_confirm_add': 2, 'confirm': 2}"
7,广东,湛江,"{'showRate': False, 'showHeal': True, 'grade': '点击查看详情', 'continueDayZeroLocalConfirm': 0, 'confirm': 112, 'mtime': '2022-07-17 11:34:41', 'continueDayZeroLocalConfirmAdd': 7, 'mediumRiskAreaNum': 2, 'highRiskAreaNum': 0, 'adcode': '440800', 'nowConfirm': 89, 'heal': 23, 'wzz': 0, 'provinceLocalConfirm': 0, 'dead': 0}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
8,广东,中山,"{'continueDayZeroLocalConfirmAdd': 0, 'continueDayZeroLocalConfirm': 0, 'adcode': '442000', 'showRate': False, 'heal': 71, 'showHeal': True, 'provinceLocalConfirm': 0, 'mtime': '2022-07-17 09:05:49', 'grade': '点击查看详情', 'wzz': 0, 'dead': 0, 'mediumRiskAreaNum': 4, 'highRiskAreaNum': 1, 'nowConfirm': 38, 'confirm': 109}","{'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 1, 'confirm': 1, 'confirmCuts': 0}"
9,广东,茂名,"{'confirm': 49, 'showHeal': True, 'continueDayZeroLocalConfirm': 0, 'dead': 0, 'heal': 14, 'grade': '点击查看详情', 'mediumRiskAreaNum': 9, 'continueDayZeroLocalConfirmAdd': 2, 'mtime': '2022-07-17 11:32:10', 'nowConfirm': 35, 'showRate': False, 'wzz': 0, 'provinceLocalConfirm': 0, 'highRiskAreaNum': 3, 'adcode': '440900'}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
