,province,city,confirm,dead,heal,add_confirm
0,台湾,地区待确认,4240466,8103,13742,25266
1,香港,地区待确认,345379,9433,65580,640
2,澳门,地区待确认,727,5,202,16
3,广东,深圳,1407,3,778,1
4,广东,广州,970,1,609,0
5,广东,境外输入,4223,0,4099,21
6,广东,珠海,220,1,115,2
7,广东,湛江,112,0,23,0
8,广东,中山,109,0,71,1
9,广东,茂名,49,0,14,0
10,广东,佛山,112,0,101,1
11,广东,江门,32,0,23,0
12,广东,惠州,70,0,62,0
13,广东,肇庆,27,1,18,0
14,广东,云浮,7,0,0,0
15,广东,河源,9,0,5,0
16,广东,韶关,13,1,9,0
17,广东,阳江,16,0,14,0
18,广东,汕尾,8,0,6,0
19,广东,梅州,18,0,17,0
20,广东,汕头,26,0,25,0
21,广东,清远,13,0,12,0
22,广东,潮州,5,0,5,0
23,广东,东莞,348,1,347,0
24,广东,揭阳,10,0,10,0
25,广东,地区待确认,0,0,1141,0
26,甘肃,兰州,518,2,353,53
27,甘肃,白银,27,0,23,0
28,甘肃,境外输入,185,0,184,0
29,甘肃,临夏,4,0,3,0
30,甘肃,陇南,8,0,7,0
31,甘肃,张掖,17,0,17,0
32,甘肃,金昌,1,0,1,0
33,甘肃,武威,0,0,0,0
34,甘肃,嘉峪关,5,0,5,0
35,甘肃,天水,55,0,55,0
36,甘肃,庆阳,3,0,3,0
37,甘肃,甘南州,8,0,8,0
38,甘肃,定西,9,0,9,0
39,甘肃,平凉,9,0,9,0
40,甘肃,酒泉,1,0,1,0
41,甘肃,地区待确认,1,0,2,0
42,天津,待确认,104,0,36,0
43,天津,河北区,119,0,95,0
44,天津,境外输入,691,0,671,2
45,天津,北辰区,33,0,23,0
46,天津,和平区,13,0,6,0
47,天津,河西区,34,0,28,0
48,天津,南开区,42,0,37,0
49,天津,东丽区,36,0,32,0
50,天津,西青区,209,0,206,0
51,天津,津南区,367,0,364,0
52,天津,红桥区,38,0,36,0
53,天津,河东区,36,1,33,0
54,天津,滨海新区,88,0,86,0
55,天津,蓟州区,0,0,0,0
56,天津,外地来津,8,0,8,0
57,天津,宁河区,6,0,6,0
58,天津,静海区,11,0,11,0
59,天津,宝坻区,66,2,64,0
60,天津,武清区,151,0,151,0
61,上海,黄浦,6618,0,5218,0
62,上海,浦东,17153,1,15902,0
63,上海,杨浦,2397,0,1194,0
64,上海,徐汇,4702,1,3516,0
65,上海,虹口,3700,0,2632,0
66,上海,静安,3270,1,2416,0
67,上海,闵行,5432,0,4713,2
68,上海,宝山,3129,1,2460,1
69,上海,长宁,2414,0,1876,0
70,上海,普陀,1790,0,1291,0
71,上海,嘉定,2636,2,2358,0
72,上海,崇明,396,0,225,0
73,上海,奉贤,242,0,153,0
74,上海,松江,2978,0,2894,1
75,上海,境外输入,4831,0,4748,3
76,上海,青浦,1325,0,1253,0
77,上海,金山,339,0,328,0
78,上海,外地来沪,113,1,112,0
79,上海,境外来沪,1,0,2,0
80,上海,地区待确认,12,588,9450,0
81,安徽,宿州,421,0,325,0
82,安徽,蚌埠,184,5,155,3
83,安徽,境外输入,17,0,15,0
84,安徽,淮北,28,0,28,0
85,安徽,黄山,9,0,9,0
86,安徽,宣城,9,0,9,0
87,安徽,滁州,15,0,15,0
88,安徽,安庆,83,0,83,0
89,安徽,亳州,108,0,108,0
90,安徽,六安,84,0,84,0
91,安徽,合肥,178,1,177,0
92,安徽,淮南,36,0,36,0
93,安徽,池州,21,0,21,0
94,安徽,马鞍山,41,0,41,0
95,安徽,阜阳,163,0,163,0
96,安徽,芜湖,40,0,40,0
97,安徽,铜陵,33,0,33,0
98,吉林,长春,25176,0,24679,0
99,吉林,境外输入,73,0,35,0
100,吉林,吉林市,14097,1,14093,0
101,吉林,通化,314,1,312,0
102,吉林,四平,244,1,242,0
103,吉林,白城,145,0,145,0
104,吉林,梅河口市,1,0,1,0
105,吉林,松原,18,0,18,0
106,吉林,长白山管委会,1,0,1,0
107,吉林,延边,191,0,191,0
108,吉林,辽源,9,0,9,0
109,吉林,白山,24,0,24,0
110,吉林,待确认,0,2,417,0
111,福建,境外输入,1501,0,1417,4
112,福建,宁德,93,0,26,0
113,福建,莆田,322,0,275,0
114,福建,厦门,322,0,285,0
115,福建,漳州,41,0,23,0
116,福建,泉州,1187,0,1179,0
117,福建,南平,23,0,20,0
118,福建,福州,74,1,71,0
119,福建,三明,15,0,14,0
120,福建,龙岩,6,0,6,0
121,福建,地区待确认,0,0,167,0
122,广西,北海,113,1,44,59
123,广西,钦州,27,0,27,0
124,广西,南宁,60,0,60,0
125,广西,河池,30,1,29,0
126,广西,玉林,12,0,12,0
127,广西,贵港,8,0,8,0
128,广西,梧州,5,0,5,0
129,广西,柳州,24,0,24,0
130,广西,来宾,11,0,11,0
131,广西,百色,283,0,283,0
132,广西,地区待确认,0,0,0,0
133,广西,境外输入,1014,0,1014,0
134,广西,防城港,90,0,90,0
135,广西,贺州,4,0,4,0
136,广西,桂林,34,0,34,0
137,广西,崇左,2,0,2,0
138,内蒙古,巴彦淖尔,44,1,12,0
139,内蒙古,境外输入,376,0,357,3
140,内蒙古,包头,39,0,39,0
141,内蒙古,阿拉善盟,167,0,167,0
142,内蒙古,乌海,2,0,2,0
143,内蒙古,鄂尔多斯,15,0,15,0
144,内蒙古,呼伦贝尔,658,0,658,0
145,内蒙古,呼和浩特,446,0,446,0
146,内蒙古,通辽,20,0,20,0
147,内蒙古,兴安盟,3,0,3,0
148,内蒙古,赤峰,77,0,77,0
149,内蒙古,锡林郭勒,305,0,305,0
150,内蒙古,乌兰察布,3,0,3,0
151,四川,广安,255,0,31,0
152,四川,境外输入,1421,0,1267,5
153,四川,成都,340,3,248,8
154,四川,巴中,36,0,24,0
155,四川,乐山,12,0,8,0
156,四川,达州,45,0,42,0
157,四川,广元,9,0,6,1
158,四川,德阳,21,0,19,0
159,四川,眉山,11,0,9,1
160,四川,宜宾,14,0,13,0
161,四川,资阳,5,0,4,0
162,四川,遂宁,22,0,21,0
163,四川,绵阳,23,0,23,0
164,四川,自贡,10,0,10,0
165,四川,泸州,25,0,25,0
166,四川,阿坝,1,0,1,0
167,四川,甘孜,78,0,78,0
168,四川,南充,39,0,39,0
169,四川,凉山,13,0,13,0
170,四川,攀枝花,16,0,16,0
171,四川,雅安,8,0,8,0
172,四川,内江,22,0,22,0
173,四川,地区待确认,0,0,449,0
174,江苏,徐州,160,0,79,0
175,江苏,南京,383,0,331,0
176,江苏,无锡,103,0,55,0
177,江苏,盐城,68,0,27,0
178,江苏,常州,84,0,54,0
179,江苏,苏州,228,0,205,0
180,江苏,宿迁,29,0,16,0
181,江苏,连云港,205,0,193,1
182,江苏,镇江,24,0,12,0
183,江苏,泰州,47,0,37,0
184,江苏,境外输入,265,0,258,2
185,江苏,淮安,83,0,78,0
186,江苏,扬州,594,0,593,0
187,江苏,南通,41,0,40,0
188,江苏,地区待确认,0,0,295,0
189,海南,三亚,129,1,57,0
190,海南,海口,83,0,41,4
191,海南,陵水县,10,0,4,0
192,海南,境外输入,25,0,19,0
193,海南,琼海,11,1,5,0
194,海南,儋州,17,1,14,0
195,海南,万宁,14,0,13,0
196,海南,临高县,6,0,6,0
197,海南,琼中县,1,0,1,0
198,海南,东方,3,1,2,0
199,海南,保亭,3,0,3,0
200,海南,澄迈县,9,1,8,0
201,海南,昌江县,7,0,7,0
202,海南,三沙,0,0,0,0
203,海南,文昌,3,0,3,0
204,海南,乐东,2,0,2,0
205,海南,定安县,3,1,2,0
206,海南,地区待确认,0,0,95,0
