date,confirm,heal,dead,importedCase,nowConfirm,nowSevere,localConfirm
2022-05-19,1625259,288077,15819,18461,1321363,280,4714
2022-05-20,1711230,288568,15873,18481,1406789,292,4715
2022-05-21,1796074,289184,15935,18493,1490955,200,4205
2022-05-22,1875779,289557,15989,18506,1570233,193,4076
2022-05-23,1942240,290057,16030,18521,1636153,192,3753
2022-05-24,2024766,290494,16072,18536,1718200,187,3491
2022-05-25,2114305,291008,16151,18562,1807146,170,3174
2022-05-26,2196366,291261,16258,18584,1888847,169,3061
2022-05-27,2291304,291561,16385,18609,1983358,162,2881
2022-05-28,2372052,291847,16513,18637,2063692,140,2700
2022-05-29,2448692,292073,16658,18651,2339961,133,2517
2022-05-30,2508872,292389,16769,18673,2199714,128,2508
2022-05-31,2589598,292691,16859,18686,2280048,120,2070
2022-06-01,2677949,293039,16982,18705,2367928,116,1820
2022-06-02,2754999,293315,17127,18722,2444557,82,1655
2022-06-03,2831622,293675,17271,18747,2520676,73,1396
2022-06-04,2899852,293988,17423,18770,2588441,65,1184
2022-06-05,2962016,294270,17551,18776,2650195,57,971
2022-06-06,3015155,294446,17702,18794,2703007,50,871
2022-06-07,3098302,294657,17829,18817,2785816,39,786
2022-06-08,3178526,294871,17988,18834,2865667,33,715
2022-06-09,3251567,295075,18200,18849,2938292,27,795
2022-06-10,3320069,295223,18413,18863,3006433,24,595
2022-06-11,3399959,295339,18624,18875,3085996,21,670
2022-06-12,3450756,295456,18787,18895,3136513,19,690
2022-06-13,3496075,295553,18896,18930,3181626,14,714
2022-06-14,3562468,295654,19020,18953,3247794,16,737
2022-06-15,3631648,295771,19164,18975,3316713,15,727
2022-06-16,3695035,295876,19332,19006,3379827,10,715
2022-06-17,3750466,296014,19487,19030,3434965,9,675
2022-06-18,3804378,296136,19668,19061,3488574,8,651
2022-06-19,3855249,296264,19842,19085,3539143,8,597
2022-06-20,3891102,296361,19987,19113,3574754,7,555
2022-06-21,3947734,296498,20102,19134,3631134,6,504
2022-06-22,4000293,296591,20102,19169,3683600,4,449
2022-06-23,4048939,296839,20441,19188,3731659,3,393
2022-06-24,4095009,296990,20593,19234,3777462,3,329
2022-06-25,4135699,297159,20744,19271,3817796,2,270
2022-06-26,4175718,297298,20878,19305,3857542,2,228
2022-06-27,4204616,297427,20969,19320,3886220,1,183
2022-06-28,4249438,297538,21073,19341,3930827,1,159
2022-06-29,4291891,297682,21158,19366,3973051,1,134
2022-06-30,4331287,297812,21278,19391,4012197,0,123
2022-07-01,4367515,297969,21400,19425,4048146,0,147
2022-07-02,4402734,298071,21499,19454,4083164,0,210
2022-07-03,4435767,298161,21589,19485,4116017,0,233
2022-07-04,4459242,298289,21658,19528,4139295,1,295
2022-07-05,4495778,298407,21761,19557,4175610,1,403
2022-07-06,4530998,298561,21857,19587,4210580,1,479
2022-07-07,4563019,298721,21963,19637,4242335,2,513
2022-07-08,4594043,298888,22097,19682,4273058,1,559
2022-07-09,4622794,299043,22191,19718,4301560,0,607
2022-07-10,4651281,299204,22264,19766,4329813,0,627
2022-07-11,4670968,299417,22367,19804,4349184,0,638
2022-07-12,4702869,299611,22429,19845,4380829,0,650
2022-07-13,4733481,299812,22481,19880,4411188,0,678
2022-07-14,4761856,300032,22575,19929,4439249,1,690
2022-07-15,4787922,300261,22694,19983,4464967,1,710
2022-07-16,4813998,300495,22767,20031,4490736,3,763
2022-07-17,4839118,300729,22844,20081,4515545,2,835
