date,confirm,dead,heal,infect,importedCase,localConfirmadd,localinfectionadd
2021-07-17,45,1,103,27,32,1,0
2021-07-18,51,4,51,17,26,5,0
2021-07-19,86,1,51,19,57,8,2
2021-07-20,53,4,110,23,20,11,1
2021-07-21,81,5,48,18,38,12,7
2021-07-22,82,4,99,35,36,12,10
2021-07-23,61,2,65,20,22,13,4
2021-07-24,59,2,66,17,27,5,4
2021-07-25,93,0,44,24,36,40,4
2021-07-26,82,0,68,20,40,31,3
2021-07-27,104,1,84,18,31,55,1
2021-07-28,70,0,48,14,25,24,2
2021-07-29,84,0,137,25,43,21,8
2021-07-30,82,0,35,19,25,30,12
2021-07-31,87,0,64,37,22,53,25
2021-08-01,115,2,54,60,43,55,44
2021-08-02,107,0,29,41,29,61,23
2021-08-03,123,2,62,27,25,71,15
2021-08-04,108,0,70,54,23,62,32
2021-08-05,141,0,85,58,44,80,21
2021-08-06,121,3,54,32,32,75,20
2021-08-07,113,12,69,30,15,81,5
2021-08-08,134,3,42,39,31,94,8
2021-08-09,153,4,74,38,35,108,20
2021-08-10,123,1,34,30,28,83,7
2021-08-11,98,2,45,38,20,61,11
2021-08-12,110,1,63,34,52,47,5
2021-08-13,87,2,67,19,36,30,1
2021-08-14,62,2,84,29,29,24,7
2021-08-15,61,0,43,20,38,13,3
2021-08-16,55,0,60,17,36,6,0
2021-08-17,49,0,91,17,22,6,0
2021-08-18,60,0,88,30,41,5,0
2021-08-19,44,5,417,30,29,4,0
2021-08-20,31,1,58,20,16,4,0
2021-08-21,45,0,102,19,28,4,0
2021-08-22,36,0,77,16,21,0,0
2021-08-23,46,0,117,9,34,1,0
2021-08-24,33,1,101,11,16,4,0
2021-08-25,32,1,113,19,23,3,0
2021-08-26,43,2,121,22,30,2,0
2021-08-27,45,1,134,10,20,1,0
2021-08-28,45,0,128,20,33,0,0
2021-08-29,53,0,108,24,23,0,0
2021-08-30,48,0,117,14,37,0,1
2021-08-31,25,0,103,13,19,0,0
2021-09-01,35,0,96,19,27,1,0
2021-09-02,33,1,71,22,28,0,0
2021-09-03,33,0,90,22,27,1,0
2021-09-04,30,0,81,23,28,0,1
2021-09-05,32,0,73,18,18,0,1
2021-09-06,54,0,48,10,36,0,0
2021-09-07,37,0,54,11,19,0,0
2021-09-08,39,0,43,9,28,0,0
2021-09-09,25,1,51,21,17,0,0
2021-09-10,37,1,54,21,24,1,5
2021-09-11,55,0,41,44,26,20,18
2021-09-12,77,0,43,28,27,22,18
2021-09-13,98,0,37,20,33,59,1
2021-09-14,80,0,50,16,23,50,1
2021-09-15,86,0,44,13,31,49,0
2021-09-16,96,0,49,20,22,62,6
2021-09-17,57,0,54,17,15,31,0
2021-09-18,77,0,54,19,23,43,0
2021-09-19,64,1,37,13,21,28,1
2021-09-20,83,0,36,13,30,42,0
2021-09-21,46,0,41,9,25,16,0
2021-09-22,51,1,42,14,15,28,0
2021-09-23,65,0,39,11,24,30,0
2021-09-24,55,0,28,14,28,10,0
2021-09-25,44,0,39,14,20,9,2
2021-09-26,51,0,37,20,22,13,3
2021-09-27,44,1,66,7,18,13,0
2021-09-28,49,0,62,19,14,11,2
2021-09-29,38,0,67,21,16,6,0
2021-09-30,44,0,50,25,24,10,0
2021-10-01,56,1,45,19,39,2,2
2021-10-02,43,0,53,15,26,2,0
2021-10-03,33,0,49,15,26,1,2
2021-10-04,39,1,33,15,26,1,0
2021-10-05,41,0,49,12,24,2,3
2021-10-06,36,0,57,11,25,0,2
2021-10-07,34,0,53,13,22,0,0
2021-10-08,17,1,40,22,17,0,0
2021-10-09,36,1,60,14,24,0,1
2021-10-10,32,0,44,8,25,0,0
2021-10-11,30,0,62,14,12,0,0
2021-10-12,30,0,49,16,22,0,0
2021-10-13,28,0,42,22,20,1,0
2021-10-14,19,0,95,25,10,0,0
2021-10-15,27,0,58,18,14,0,3
2021-10-16,37,0,31,13,19,1,2
2021-10-17,28,0,30,9,22,2,2
2021-10-18,36,0,29,19,16,21,4
2021-10-19,38,0,43,22,13,17,4
2021-10-20,48,0,39,27,8,32,7
2021-10-21,51,0,20,26,15,28,7
2021-10-22,63,0,25,17,12,43,6
2021-10-23,73,0,32,20,17,50,5
2021-10-24,47,0,33,13,4,35,3
2021-10-25,75,1,17,26,14,49,5
2021-10-26,70,1,25,26,9,54,4
2021-10-27,58,0,27,31,16,44,11
2021-10-28,72,0,32,23,16,63,3
2021-10-29,88,0,16,24,19,67,6
2021-10-30,81,0,22,23,23,50,2
2021-10-31,99,0,37,24,33,64,7
2021-11-01,77,0,28,13,17,58,0
2021-11-02,115,0,23,19,16,93,11
2021-11-03,114,0,24,31,17,87,16
2021-11-04,87,0,30,42,10,71,22
2021-11-05,63,0,43,27,15,45,14
2021-11-06,82,0,47,35,24,55,21
2021-11-07,94,0,56,46,24,65,34
2021-11-08,65,0,42,74,19,43,46
2021-11-09,61,1,54,39,15,47,25
2021-11-10,72,0,38,35,15,47,23
2021-11-11,110,0,66,35,19,79,12
2021-11-12,75,0,81,34,18,79,18
2021-11-13,95,0,63,25,19,70,8
2021-11-14,61,0,58,14,20,33,2
2021-11-15,37,0,76,13,11,11,2
2021-11-16,34,0,76,15,23,8,1
2021-11-17,43,0,60,27,29,6,0
2021-11-18,31,0,56,26,16,8,1
2021-11-19,34,0,73,16,20,3,1
2021-11-20,24,0,79,8,13,4,0
2021-11-21,49,0,92,29,31,7,1
2021-11-22,25,0,68,18,14,5,2
2021-11-23,35,0,72,16,18,4,0
2021-11-24,30,0,70,22,22,5,0
2021-11-25,29,0,69,18,9,4,3
2021-11-26,41,0,79,15,20,5,0
2021-11-27,38,0,49,22,20,22,4
2021-11-28,54,0,42,22,20,21,4
2021-11-29,50,0,37,22,18,55,0
2021-11-30,124,0,37,14,22,103,2
2021-12-01,84,0,39,13,20,70,1
2021-12-02,119,0,33,24,16,108,10
2021-12-03,104,0,51,19,15,92,6
2021-12-04,74,0,39,21,17,47,5
2021-12-05,74,0,38,44,23,76,7
2021-12-06,109,0,49,14,34,89,4
2021-12-07,100,0,50,23,30,77,5
2021-12-08,88,0,43,33,23,79,13
2021-12-09,86,0,37,43,26,55,26
2021-12-10,108,0,40,30,36,57,14
2021-12-11,86,0,30,20,26,122,10
2021-12-12,112,0,48,17,21,126,0
2021-12-13,83,0,31,15,25,79,4
2021-12-14,82,0,45,24,17,105,2
2021-12-15,86,1,33,20,8,104,1
2021-12-16,98,0,26,23,20,130,2
2021-12-17,147,0,33,19,36,115,2
2021-12-18,101,0,48,41,39,51,4
2021-12-19,116,1,53,33,65,38,2
2021-12-20,100,0,49,19,24,59,1
2021-12-21,95,0,80,19,20,63,0
2021-12-22,121,0,42,19,29,102,2
2021-12-23,112,0,71,26,34,63,1
2021-12-24,165,0,113,24,53,89,4
2021-12-25,249,0,76,29,48,161,1
2021-12-26,233,0,53,27,38,162,0
2021-12-27,235,0,92,21,27,182,3
2021-12-28,222,0,57,15,45,152,1
2021-12-29,235,0,61,27,51,156,1
2021-12-30,232,0,47,29,29,166,0
2021-12-31,291,0,69,38,56,182,5
2022-01-01,230,0,67,52,60,134,4
2022-01-02,178,0,52,35,60,108,4
2022-01-03,215,0,51,54,67,112,21
2022-01-04,148,0,67,71,54,57,22
2022-01-05,233,0,200,45,57,133,10
2022-01-06,241,0,102,45,58,127,3
2022-01-07,236,0,151,52,64,99,6
2022-01-08,230,0,148,46,73,104,0
2022-01-09,241,0,186,42,60,152,2
2022-01-10,287,0,150,50,82,176,11
2022-01-11,307,0,211,32,55,214,4
2022-01-12,298,1,218,31,66,155,9
2022-01-13,297,1,241,42,58,146,4
2022-01-14,165,0,145,25,61,106,2
2022-01-15,199,0,136,52,54,65,5
2022-01-16,281,0,217,28,60,165,0
2022-01-17,239,0,158,33,44,132,1
2022-01-18,159,0,193,37,32,56,2
2022-01-19,127,0,251,28,23,49,2
2022-01-20,136,0,218,31,50,32,2
2022-01-21,142,0,196,43,40,23,6
2022-01-22,199,0,224,34,37,27,7
2022-01-23,247,0,254,27,39,28,5
2022-01-24,166,0,213,43,27,40,18
2022-01-25,156,0,194,64,20,24,20
2022-01-26,236,0,220,55,38,25,17
2022-01-27,315,0,189,54,25,39,12
2022-01-28,210,0,223,32,22,37,3
2022-01-29,208,0,202,65,27,54,16
2022-01-30,178,0,170,52,18,40,4
2022-01-31,187,0,146,32,39,36,1
2022-02-01,207,0,171,28,27,43,4
2022-02-02,175,0,120,96,18,21,1
2022-02-03,185,0,151,52,17,12,1
2022-02-04,320,0,165,60,18,9,0
2022-02-05,369,0,175,40,30,51,0
2022-02-06,299,0,232,51,34,45,10
2022-02-07,514,0,234,46,40,65,4
2022-02-08,307,0,171,24,37,73,1
2022-02-09,718,2,217,28,22,7,1
2022-02-10,452,1,464,66,45,56,5
2022-02-11,682,0,329,41,59,52,0
2022-02-12,263,3,252,34,39,28,1
2022-02-13,481,0,83,39,58,46,8
2022-02-14,1582,2,660,44,40,40,7
2022-02-15,752,0,314,28,56,46,5
2022-02-16,942,3,329,32,57,35,11
2022-02-17,613,11,298,45,47,40,20
2022-02-18,1612,20,329,37,57,82,15
2022-02-19,646,18,319,39,94,132,4
2022-02-20,554,12,269,38,73,71,15
2022-02-21,3757,12,312,46,79,59,6
2022-02-22,2912,36,345,67,115,90,16
2022-02-23,4080,49,323,112,101,85,24
2022-02-24,2818,41,325,109,142,82,22
2022-02-25,4157,73,362,118,156,93,30
2022-02-26,5802,80,375,100,127,112,22
2022-02-27,24760,82,449,114,147,87,53
2022-02-28,11526,85,771,144,125,75,42
2022-03-01,18282,246,667,169,153,71,48
2022-03-02,20549,178,709,143,160,54,37
2022-03-03,20090,198,648,150,233,61,56
2022-03-04,31713,188,614,166,179,102,73
2022-03-05,18374,220,848,209,154,175,127
2022-03-06,19271,233,806,442,113,214,312
2022-03-07,6089,280,498,443,150,175,330
2022-03-08,15154,291,959,399,104,233,322
2022-03-09,12384,291,933,586,126,402,435
2022-03-10,8115,281,1020,814,158,397,703
2022-03-11,5759,294,1028,1173,112,476,1048
2022-03-12,5791,285,1129,1455,131,1807,1315
2022-03-13,5944,264,876,906,100,1337,788
2022-03-14,7701,286,524,1768,95,3507,1647
2022-03-15,5467,289,1061,1338,92,1860,1194
2022-03-16,4653,279,1305,1310,91,1226,1206
2022-03-17,4654,289,1449,1904,73,2388,1742
2022-03-18,4163,267,1688,1823,71,2157,1713
2022-03-19,3551,249,1521,2316,81,1656,2177
2022-03-20,3423,246,1467,2492,80,1947,2384
2022-03-21,3563,223,980,2432,57,2281,2313
2022-03-22,3813,245,1938,2469,76,2591,2346
2022-03-23,3218,205,2362,2829,44,2010,2722
2022-03-24,3204,201,2111,3622,65,1301,3489
2022-03-25,2093,192,2310,4430,55,1280,4320
2022-03-26,2121,139,2446,4448,37,1217,4333
2022-03-27,2164,151,1925,5134,56,1219,4996
2022-03-28,2022,168,1591,5758,65,1228,5658
2022-03-29,2164,151,2578,7196,64,1565,7090
2022-03-30,2666,135,2872,6720,36,1803,6651
2022-03-31,2593,119,2536,5559,40,1787,5442
2022-04-01,14288,120,5781,7869,43,2086,7789
2022-04-02,8570,116,3907,11781,51,1455,11691
2022-04-03,2163,111,2719,11862,39,1366,11771
2022-04-04,1954,90,2281,15355,62,1173,15239
2022-04-05,2263,87,3357,19199,32,1383,19089
2022-04-06,2097,111,2420,21784,39,1284,21711
2022-04-07,3096,97,3358,22648,36,1540,22561
2022-04-09,2049,63,3491,25111,33,1318,25037
2022-04-10,2009,65,2256,26411,20,1164,26345
2022-04-11,2097,65,2554,23387,21,1251,23295
2022-04-12,3048,116,3468,26525,13,1500,26420
2022-04-13,4009,62,3568,26391,21,2999,26318
2022-04-14,4547,54,2937,20782,14,3472,20694
2022-04-15,5451,67,4529,20895,29,3867,20813
2022-04-16,4944,41,2408,22626,25,3504,22512
2022-04-17,4305,32,2284,20718,19,2723,20639
2022-04-18,5186,27,2320,18284,19,3297,18187
2022-04-19,4582,26,2962,17166,8,2753,17066
2022-04-20,5616,18,3056,16617,11,2830,16552
2022-04-21,5309,37,2387,16465,14,2119,16383
2022-04-22,7030,27,3371,21423,17,2971,21355
2022-04-23,23314,48,2904,20285,14,1566,20230
2022-04-24,8923,64,3151,17581,14,2666,17528
2022-04-25,7259,70,2385,15889,15,1908,15816
2022-04-26,8251,55,-6587,12474,6,1818,12404
2022-04-27,10561,57,2935,9864,9,1494,9791
2022-04-28,18157,69,3165,10029,13,5646,9942
2022-04-29,13842,47,3639,9369,14,1410,9293
2022-04-30,16121,51,3635,7409,4,916,7340
2022-05-01,17973,45,4850,7409,4,827,7340
2022-05-02,18285,28,4428,5690,16,368,5647
2022-05-03,23603,28,2167,5136,9,353,5075
2022-05-04,28951,21,2287,4740,13,360,4678
2022-05-05,30473,22,1745,4340,18,356,4272
2022-05-06,36602,34,2082,4324,6,345,4275
2022-05-07,46793,19,1275,4133,10,319,4065
2022-05-08,42746,25,966,3918,14,401,3859
2022-05-09,40622,19,1055,3118,8,349,3077
2022-05-10,51198,24,899,1603,22,302,1545
2022-05-11,57428,16,694,1680,15,222,1630
2022-05-12,65794,2,614,2201,19,312,2140
2022-05-13,65317,1,866,1796,23,253,1726
2022-05-14,64238,44,538,1550,13,226,1492
2022-05-15,68916,24,708,1076,11,140,1019
2022-05-16,61933,30,515,925,13,162,887
2022-05-17,66109,41,477,1065,13,227,1000
2022-05-18,85364,46,504,870,21,191,825
2022-05-19,89660,105,531,990,17,176,939
2022-05-20,85971,54,491,1010,20,181,951
2022-05-21,84844,62,616,729,12,157,667
2022-05-22,79705,113,513,682,13,174,628
2022-05-23,66461,41,500,532,15,141,498
2022-05-24,82526,42,437,473,15,102,418
2022-05-25,89539,79,514,415,26,104,356
2022-05-26,82061,107,253,342,22,80,274
2022-05-27,94938,127,300,266,25,71,193
2022-05-28,80748,128,286,211,28,54,161
2022-05-29,76640,273,260,150,48,20,102
2022-05-30,60180,111,316,124,22,28,69
2022-05-31,80726,90,302,96,13,22,46
2022-06-01,88351,123,348,92,19,18,43
2022-06-02,77050,268,338,92,17120,20,54
2022-06-03,76623,144,360,125,25,21,55
2022-06-04,68230,152,313,106,23,33,55
2022-06-05,62164,128,282,140,6,25,61
2022-06-06,53139,151,176,152,18,39,85
2022-06-07,83147,127,211,149,23,44,80
2022-06-08,80224,159,214,170,17,53,111
2022-06-09,73041,159,226,106,15,30,43
2022-06-10,68502,584,265,131,14,65,73
2022-06-11,79890,211,116,141,12,122,74
2022-06-12,50797,163,117,131,20,69,74
2022-06-13,45319,109,97,135,35,60,67
2022-06-14,66393,124,101,158,23,54,65
2022-06-15,69180,268,171,111,22,42,38
2022-06-16,63387,168,105,103,31,23,41
2022-06-17,55431,323,192,169,24,11,41
2022-06-18,53912,181,122,123,31,5,22
2022-06-19,50871,355,197,71,24,14,10
2022-06-20,35853,145,97,105,28,9,25
