,name,confirmAdd,confirm,heal,dead
0,美国,24757,91275149,86646220,1048843
1,印度,12808,43763407,43081441,525709
2,巴西,10852,33301118,31556393,675408
3,法国,73668,33016578,30527965,150576
4,德国,0,29692989,27682600,142533
5,英国,0,23075360,22355935,181580
6,意大利,67817,20145859,18510884,169925
7,韩国,40342,18761757,18325028,24742
8,俄罗斯,4664,18490296,17908809,381881
9,土耳其,0,15297539,15096774,99088
10,西班牙,0,13090476,12396745,109348
11,越南,745,10760595,9814276,43091
12,日本,104832,10204843,9501765,31580
13,阿根廷,0,9426171,9230687,129145
14,澳大利亚,37899,8773576,8392349,10689
15,荷兰,0,8274234,8095981,22422
16,伊朗,5751,7278478,7068337,141499
17,墨西哥,31173,6439616,5481046,326491
18,哥伦比亚,0,6223497,6031815,140365
19,印度尼西亚,3540,6134953,5950554,156849
20,波兰,397,6032475,5335771,116470
21,葡萄牙,0,5273845,5020499,24369
22,乌克兰,0,5020181,4908049,108690
23,马来西亚,3936,4622981,4544615,35855
24,奥地利,10345,4609834,4467592,18931
25,泰国,2028,4559029,4504734,30999
26,以色列,0,4498036,4415338,11101
27,比利时,0,4349050,4155889,32051
28,智利,6920,4137152,3811708,59086
29,加拿大,0,4007463,3576675,43555
30,南非,0,3999751,3890509,101918
31,捷克,581,3952388,3898753,40352
32,瑞士,0,3843522,3679326,14021
33,希腊,0,3843142,3614441,30476
34,秘鲁,0,3740861,3426292,213801
35,菲律宾,2560,3733101,3652587,60641
36,丹麦,0,3039859,3009498,6551
37,罗马尼亚,2165,2963934,2853649,65813
38,瑞典,0,2528166,2494092,19170
39,伊拉克,2875,2405186,2345619,25270
40,塞尔维亚,2055,2056691,2009887,16169
41,孟加拉,900,1996340,1924960,29234
42,匈牙利,0,1940824,1878221,46696
43,斯洛伐克,471,1806090,1777234,20172
44,约旦,0,1700526,1685354,14068
45,格鲁吉亚,0,1667453,1637293,16847
46,爱尔兰,0,1628745,1571250,7537
47,新加坡,6947,1596046,1495141,1453
48,巴基斯坦,605,1546252,1504817,30440
49,新西兰,6482,1500754,1428229,1763
50,挪威,87,1452755,1444381,3504
51,哈萨克斯坦,1546,1316567,1294798,13664
52,摩洛哥,787,1251297,1220252,16184
53,保加利亚,417,1184846,1135430,37294
54,芬兰,0,1171034,1120330,5012
55,克罗地亚,979,1168111,1142194,16156
56,黎巴嫩,2336,1140794,1087587,10489
57,古巴,68,1106798,1097915,8529
58,突尼斯,0,1087030,0,28823
59,立陶宛,78,1074583,1038300,9190
60,斯洛文尼亚,566,1060248,1034542,6667
61,白俄罗斯,0,994037,985592,7118
62,危地马拉,1669,984477,891574,18822
63,尼泊尔,114,981408,968016,11953
64,阿联酋,1409,973416,953694,2325
65,玻利维亚,2954,968212,902599,21979
66,乌拉圭,0,965370,955371,7373
67,巴拿马,0,934117,912594,8386
68,蒙古,0,930677,0,2179
69,厄瓜多尔,0,927700,875413,35769
70,哥斯达黎加,0,904934,860711,8525
71,拉脱维亚,0,844980,830399,5875
72,沙特阿拉伯,606,803764,787966,9232
73,阿塞拜疆,0,794092,783453,9722
74,巴拉圭,0,688820,647415,19083
75,斯里兰卡,34,664448,647454,16528
