,name,confirmAdd,confirm,heal,dead,english
0,美国,24757,91275149,86646220,1048843,United States
1,印度,12808,43763407,43081441,525709,India
2,巴西,10852,33301118,31556393,675408,Brazil
3,法国,73668,33016578,30527965,150576,France
4,德国,0,29692989,27682600,142533,Germany
5,英国,0,23075360,22355935,181580,United Kingdom
6,意大利,67817,20145859,18510884,169925,Italy
7,韩国,40342,18761757,18325028,24742,Korea(republic of)
8,俄罗斯,4664,18490296,17908809,381881,Russia
9,土耳其,0,15297539,15096774,99088,Turkey
10,西班牙,0,13090476,12396745,109348,Spain
11,越南,745,10760595,9814276,43091,Vietnam
12,日本,104832,10204843,9501765,31580,Japan
13,阿根廷,0,9426171,9230687,129145,Argentina
14,澳大利亚,37899,8773576,8392349,10689,Australia
15,荷兰,0,8274234,8095981,22422,Netherlands
16,墨西哥,31173,6439616,5481046,326491,Mexico
17,哥伦比亚,0,6223497,6031815,140365,Colombia
18,印度尼西亚,3540,6134953,5950554,156849,Indonesia
19,波兰,397,6032475,5335771,116470,Poland
20,葡萄牙,0,5273845,5020499,24369,Portugal
21,乌克兰,0,5020181,4908049,108690,Ukraine
22,马来西亚,3936,4622981,4544615,35855,Malaysia
23,奥地利,10345,4609834,4467592,18931,Austria
24,泰国,2028,4559029,4504734,30999,Thailand
25,以色列,0,4498036,4415338,11101,Israel
26,比利时,0,4349050,4155889,32051,Belgium
27,智利,6920,4137152,3811708,59086,Chile
28,加拿大,0,4007463,3576675,43555,Canada
29,南非,0,3999751,3890509,101918,South Africa
30,捷克,581,3952388,3898753,40352,Czech
31,瑞士,0,3843522,3679326,14021,Switzerland
32,希腊,0,3843142,3614441,30476,Greece
33,秘鲁,0,3740861,3426292,213801,Peru
34,菲律宾,2560,3733101,3652587,60641,Philippines
35,丹麦,0,3039859,3009498,6551,Denmark
36,罗马尼亚,2165,2963934,2853649,65813,Rumania
37,瑞典,0,2528166,2494092,19170,Sweden
38,伊拉克,2875,2405186,2345619,25270,Iraq
39,匈牙利,0,1940824,1878221,46696,HunGary
40,斯洛伐克,471,1806090,1777234,20172,Slovak
41,约旦,0,1700526,1685354,14068,Jordan
42,格鲁吉亚,0,1667453,1637293,16847,Georgia
43,爱尔兰,0,1628745,1571250,7537,Ireland
44,新加坡,6947,1596046,1495141,1453,Singapore
45,巴基斯坦,605,1546252,1504817,30440,Pskistan
46,新西兰,6482,1500754,1428229,1763,New Zealand
47,挪威,87,1452755,1444381,3504,Norway
48,哈萨克斯坦,1546,1316567,1294798,13664,Kazakhstan
49,摩洛哥,787,1251297,1220252,16184,Morocco
50,保加利亚,417,1184846,1135430,37294,Bulgaria
51,芬兰,0,1171034,1120330,5012,Finland
52,克罗地亚,979,1168111,1142194,16156,Croatian
53,黎巴嫩,2336,1140794,1087587,10489,Lebanon
54,古巴,68,1106798,1097915,8529,Cuba
55,突尼斯,0,1087030,0,28823,Tunisia
56,立陶宛,78,1074583,1038300,9190,Lithuania
57,斯洛文尼亚,566,1060248,1034542,6667,Slovenia
58,白俄罗斯,0,994037,985592,7118,Belarus
59,危地马拉,1669,984477,891574,18822,Guatemala
60,尼泊尔,114,981408,968016,11953,Nepal
61,玻利维亚,2954,968212,902599,21979,Bolivia
62,乌拉圭,0,965370,955371,7373,Uruguay
63,巴拿马,0,934117,912594,8386,Panama
64,蒙古,0,930677,0,2179,Mongolia
65,厄瓜多尔,0,927700,875413,35769,Ecuador
66,哥斯达黎加,0,904934,860711,8525,Costa Rica
67,拉脱维亚,0,844980,830399,5875,Latvia
68,沙特阿拉伯,606,803764,787966,9232,Saudi Arabia
69,阿塞拜疆,0,794092,783453,9722,Azerbaijan
70,巴拉圭,0,688820,647415,19083,Paraguay
71,斯里兰卡,34,664448,647454,16528,Sri Lanka
72,巴林,1466,649401,636754,1506,Bahrain
73,科威特,0,648216,641752,2556,Kuwait
74,缅甸,7,613816,592736,19434,Myanmar
75,爱沙尼亚,0,585143,523576,2608,Estonia
76,塞浦路斯,0,545896,124370,1086,Cyprus
77,委内瑞拉,0,529730,520927,5747,Venezuela
78,摩尔多瓦,0,520321,504142,11567,Moldova
79,埃及,0,515645,442182,24613,Egypt
80,利比亚,0,502289,490973,6430,Libya
81,埃塞俄比亚,55,491086,468107,7561,Ethiopia
82,洪都拉斯,0,430672,132498,10912,Honduras
83,亚美尼亚,0,423771,412661,8629,Armenia
84,卡塔尔,1217,395051,387502,680,Qatar
85,阿曼,0,391641,384669,4260,Oman
86,肯尼亚,50,336740,329673,5668,Kenya
87,赞比亚,0,327994,322419,4009,Zambia
88,博茨瓦纳,0,324841,321024,2760,Botswana
89,阿尔巴尼亚,0,293917,281470,3517,Albania
90,卢森堡,0,274524,259768,1102,Luxembourg
91,阿尔及利亚,21,266445,178785,6875,Algeria
92,尼日利亚,0,259007,250485,3144,Nigeria
93,津巴布韦,0,256083,249862,5566,Zimbabwe
94,乌兹别克斯坦,0,242140,239082,1637,Uzbekistan
95,莫桑比克,18,229038,226374,2215,Mozambique
96,老挝,18,210528,0,757,Laos
97,吉尔吉斯斯坦,0,201329,196406,2991,Kyrgyzstan
98,冰岛,0,199611,0,179,Iceland
99,阿富汗,122,183572,165639,7731,Afghanistan
100,马尔代夫,0,183491,163687,307,Maldive
101,萨尔瓦多,0,180970,165895,4174,El Salvador
102,纳米比亚,0,169253,164813,4065,Namibia
103,特立尼达和多巴哥,43,169180,159041,4038,Trinidad and Tobago
104,乌干达,39,168763,100420,3627,Uganda
105,加纳,0,167215,165153,1456,Ghana
106,牙买加,150,144767,92326,3171,Jamaica
107,卢旺达,23,131880,45522,1464,Rwanda
108,喀麦隆,0,120068,117791,1931,Cameroon
109,马耳他,224,110967,103488,772,Malta
110,安哥拉,0,101901,97149,1909,Angola
111,法属圭亚那,0,89779,11254,402,French Guiana
112,巴巴多斯,121,87584,85101,479,Barbados
113,马拉维,31,86931,83539,2653,Malawi
114,塞内加尔,47,86791,84603,1968,Senegal
115,科特迪瓦,82,84583,83482,806,Ivory Coast
116,苏里南,0,80919,49590,1377,Suriname
117,斯威士兰,0,73242,71768,1417,Swaziland
118,圭亚那,46,68913,66663,1266,Guyana
119,斐济,0,66713,64320,869,Fiji
120,马达加斯加,191,66289,64277,1406,Madagascar
121,伯利兹,0,65994,64551,680,Belize
122,苏丹,0,62795,0,4955,S.Sudan
123,佛得角,9,61922,61174,409,Cape Verde
124,毛里塔尼亚,56,61921,59383,986,Mauritania
125,不丹,0,59940,59845,21,Bhutan
126,叙利亚,0,55973,52780,3150,Syria
127,加蓬,0,48289,47477,306,Gabon
128,塞舌尔,0,45185,44755,167,Seychelles
129,巴布亚新几内亚,0,44761,43982,662,Papua New Guinea
130,安道尔,0,44671,43802,153,Andorra
131,布隆迪,0,43222,0,38,Burundi
132,毛里求斯,0,39012,37157,1008,Mauritius
133,马约特岛,0,37958,2964,187,Mayotte I.
134,多哥,22,37798,37243,275,Togo
135,坦桑尼亚,0,37510,0,841,Tanzania
136,几内亚,0,37358,36419,443,Guinea
137,莱索托,0,34040,24155,702,Lesotho
138,海地,0,32103,29895,837,Haiti
139,马里,2,31200,30368,737,Mali
140,圣卢西亚,0,27464,26913,385,St.Lucia
141,贝宁,0,27216,25506,163,Benin
142,索马里,0,26900,13182,1350,Somali
143,所罗门群岛,0,21544,16357,153,Solomon Is.
144,布基纳法索,0,20853,20439,382,Burkinafaso
145,圣马力诺,0,19200,18549,116,San.Marino
146,格林纳达,0,18655,18266,233,Grenada
147,尼加拉瓜,0,18491,4225,225,Nicaragua
148,塔吉克斯坦,0,17786,17264,125,Tajikistan
149,赤道几内亚,0,16584,15862,183,Equatorial Guinea
150,吉布提,0,15690,15427,189,Djibouti
151,摩纳哥,0,13739,13372,57,Monaco
152,汤加,57,12439,12283,12,Tonga
153,冈比亚,0,12009,11591,365,Gambia
154,也门,0,11848,9108,2149,Yemen
155,瓦努阿图,0,11722,11630,14,Vanuatu
156,厄立特里亚,14,9878,9709,103,Eritrea
157,尼日尔,0,9096,8628,311,Niger
158,安提瓜和巴布达,0,8712,8543,144,Antigua and Barbuda
159,几内亚比绍,0,8400,8151,171,Guinea-bissau
160,科摩罗,0,8209,7933,160,Comoro
161,利比里亚,0,7504,5747,294,Liberia
162,乍得,0,7427,4874,193,Chad
163,瑙鲁,0,6960,3391,1,Nauru
164,基里巴斯,0,3236,2665,13,Kiribati
165,马绍尔群岛,0,49,18,0,Marshall Is.
166,西撒哈拉,0,10,9,1,Western sahara
167,图瓦卢,0,3,0,0,Tuvalu
168,中国,25120,4839118,300729,22844,China
